brand,category,country,currency,description,domain,image,price,pricestring,reference,subcategory,timestamp,title,url
746_upset,Onduleur,TN,TND,Onduleur In-Line UPSET MA 650 - Puissance 650VA / 390 W - Dimensions: 308 x 98 x 170 mm - 2x Prise Schuko + - Autonomie 10 Minutes - 1x Batteries 12V / 7Ah - Niveau Sonore < 40 dBA - Fréquence 50 / 60 Hz ± 10% - Garantie 2 ans (Batterie 1 an),tunisianet.com.tn,https://www.tunisianet.com.tn/130273-home/onduleur-in-line-upset-ma-850.jpg,"165,000","165,000 DT",MA850VA,Onduleur,2021-05-01 00:00:38.411641,Onduleur In-Line UPSET MA 850,https://www.tunisianet.com.tn/onduleur/35851-onduleur-in-line-upset-ma-850.html
874_swatch,Swatch,TN,TND,Montre Swatch CASUAL GREEN LK397 Pour Femme - Fonctions: Date & Heure ,tunisianet.com.tn,https://www.tunisianet.com.tn/179565-home/montre-pour-femme-swatch-luxy-barok-lb187.jpg,"189,000","189,000 DT",LB187,Swatch,2021-05-01 00:00:38.455523,Montre Pour femme Swatch LUXY BAROK LB187,https://www.tunisianet.com.tn/swatch/44634-montre-pour-femme-swatch-luxy-barok-lb187.html
29_dell,Serveur informatique,TN,TND,"Processeur Intel Xeon Quad Core E-2224G, 3.5 Ghz, 8 Mo de mémoire cache - Mémoire 8 Go DDR4 UDIMM, 2400 MT - Disque SATA 1 To, 7200 Rpm - Graveur DVD - Garantie 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/156124-home/serveur-tour-dell-poweredge-t30.jpg,"1 905,000","1 905,000 DT",145650-T30,Serveur informatique,2021-05-01 00:00:38.486471,Serveur Tour Dell PowerEdge T30,https://www.tunisianet.com.tn/serveur-informatique-tunisie/40655-serveur-tour-dell-poweredge-t30.html
17_noname,Composant  Informatique,TN,TND,Pate thérmique Grise,tunisianet.com.tn,https://www.tunisianet.com.tn/150155-home/etiquette-clavier-arabe-noir.jpg,"0,700","0,700 DT",ETI_QUETTE,Composant  Informatique,2021-05-01 00:00:38.515361,Etiquette Clavier Arabe / Noir,https://www.tunisianet.com.tn/divers/15478-etiquette-clavier-arabe-noir.html
388_kasper,Logiciels,TN,TND,"Antivirus Bitdefender Internet Security - Licence 1 Poste - Durée 1 an - Protège contre les virus, les logiciels espions, le phishing et les sites Web dangereux - Sécurise votre ordinateur sans le ralentir - S’installe et se configure facilement - Préserve la confidentialité de vos activités en ligne et de votre identité - Protection bancaire - Contrôle parental - Compatible avec PC, Mac et appareils mobiles",tunisianet.com.tn,https://www.tunisianet.com.tn/154188-home/kaspersky-total-security-2020-1-an-5-postes.jpg,"119,000","119,000 DT",KL19498BEFS-20MAG,Logiciels,2021-05-01 00:00:38.543288,Kaspersky Total Security 2020 - 1 an / 5 postes,https://www.tunisianet.com.tn/logiciel-antivirus-tunisie/40358-kaspersky-total-security-2020-1-an-5-postes.html
3_lenovo,Ordinateur Portable,TN,TND,"Ecran 14.1"" HD LED - Processeur Intel Atom Quad Core Z8350, up to 1.92 Ghz, 2 Mo de cache - RAM 4 Go - Stockage 64 Go - Carte graphique Intel HD Graphic - Windows 10 - USB 2.0 - HDMI - Lecteur de Cartes - WebCam 0.3MP - Couleur: Silver - Garantie: 1 an",tunisianet.com.tn,https://www.tunisianet.com.tn/191492-home/portable-lenovo-ideapad-s145-15api-amd-dual-core-4-go-noir.jpg,"789,000","789,000 DT",81UT00N9FG,Ordinateur Portable,2021-05-01 00:00:38.576198,Portable Lenovo Ideapad S145-15API / AMD Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/47454-portable-lenovo-ideapad-s145-15api-amd-dual-core-4-go-noir.html
506_jedel,Accessoires et Périphériques,TN,TND,Connecteur BNC,tunisianet.com.tn,https://www.tunisianet.com.tn/150157-home/souris-optique-jedel-tb220-noir.jpg,"2,900","2,900 DT",TB220,Accessoires et Périphériques,2021-05-01 00:00:38.612103,Souris optique JeDEL TB220 / Noir,https://www.tunisianet.com.tn/souris/39546-souris-optique-jedel-tb220-noir.html
3_lenovo,Ordinateur de Bureau,TN,TND,"Ecran Dell 18.5"" HD - Résolution 1366 ",tunisianet.com.tn,https://www.tunisianet.com.tn/97345-home/ecran-lenovo-thinkvision-e2054-195-ips-hd.jpg,"269,000","269,000 DT",60DFAAT1EU,Ordinateur de Bureau,2021-05-01 00:00:38.644017,"Ecran Lenovo ThinkVision E2054 19.5"" IPS HD",https://www.tunisianet.com.tn/ecran-ordinateur-tunisie/29819-ecran-lenovo-thinkvision-e2054-195-ips-hd.html
861_ibrit,Téléphone Portable,TN,TND,- Réseau 2G - Caméra: ,tunisianet.com.tn,https://www.tunisianet.com.tn/191640-home/telephone-portable-ibrit-jazz-2-double-sim-noir-et-orange.jpg,"39,000","39,000 DT",IBRIT-JAZZ-BK,Téléphone Portable,2021-05-01 00:00:38.677927,Téléphone Portable Ibrit Jazz 2 - Double SIM - Noir,https://www.tunisianet.com.tn/telephone-portable-tunisie/47504-telephone-portable-ibrit-jazz-2-double-sim-noir-et-orange.html
680_ablere,Onduleur,TN,TND,Onduleur In-Line UPSET MA 650 - Puissance 650VA / 390 W - Dimensions: 308 x 98 x 170 mm - 2x Prise Schuko + - Autonomie 10 Minutes - 1x Batteries 12V / 7Ah - Niveau Sonore < 40 dBA - Fréquence 50 / 60 Hz ± 10% - Garantie 2 ans (Batterie 1 an),tunisianet.com.tn,https://www.tunisianet.com.tn/102588-home/onduleur-in-line-ablerex-glamor-650va.jpg,"169,000","169,000 DT",GR650,Onduleur,2021-05-01 00:00:38.702859,Onduleur In-Line Ablerex Glamor 650VA,https://www.tunisianet.com.tn/onduleur/30769-onduleur-in-line-ablerex-glamor-650va.html
